subject,protocol,method,train_sessions,test_session,n_train,n_test,accuracy,balanced_accuracy,macro_f1,kappa
sub-015,within_session_5fold,FBCSP-LDA,ses-05,ses-05,98,98,0.5,0.50125,0.49869506211504333,0.002492729538845051
sub-015,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,375,98,0.5102040816326531,0.5,0.33783783783783783,0.0
sub-016,within_session_5fold,CSP-LDA,ses-01,ses-01,100,100,0.56,0.56,0.5584102769971899,0.12
sub-016,within_session_5fold,CSP-LDA,ses-02,ses-02,100,100,0.52,0.52,0.5151515151515151,0.040000000000000036
sub-016,within_session_5fold,CSP-LDA,ses-03,ses-03,100,100,0.62,0.62,0.6175523349436394,0.24
sub-016,within_session_5fold,CSP-LDA,ses-04,ses-04,95,95,0.6526315789473685,0.6538120567375887,0.6487394957983194,0.3068759672783551
sub-016,within_session_5fold,CSP-LDA,ses-05,ses-05,91,91,0.5274725274725275,0.5258704061895552,0.5254093389933293,0.05185364671674342
sub-016,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,395,91,0.5824175824175825,0.5848646034816247,0.5811531007751938,0.16875000000000007
sub-016,within_session_5fold,FBCSP-LDA,ses-01,ses-01,100,100,0.51,0.51,0.5087719298245614,0.020000000000000018
sub-016,within_session_5fold,FBCSP-LDA,ses-02,ses-02,100,100,0.7,0.7,0.7,0.4
sub-016,within_session_5fold,FBCSP-LDA,ses-03,ses-03,100,100,0.69,0.69,0.6892230576441103,0.38
sub-016,within_session_5fold,FBCSP-LDA,ses-04,ses-04,95,95,0.8210526315789474,0.8215868794326242,0.8207348207348207,0.6424618109364623
sub-016,within_session_5fold,FBCSP-LDA,ses-05,ses-05,91,91,0.5494505494505495,0.5493230174081238,0.5492328138214329,0.09857453491181445
sub-016,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,395,91,0.4725274725274725,0.4792069632495164,0.45345345345345345,-0.04099142040038117
sub-017,within_session_5fold,CSP-LDA,ses-01,ses-01,100,100,0.67,0.6699999999999999,0.6691729323308271,0.33999999999999997
sub-017,within_session_5fold,CSP-LDA,ses-02,ses-02,100,100,0.42,0.42000000000000004,0.41976790716286516,-0.15999999999999992
sub-017,within_session_5fold,CSP-LDA,ses-03,ses-03,98,98,0.40816326530612246,0.4091666666666667,0.4071756362119316,-0.18121363258520362
