subject,protocol,method,lambda_stability,train_sessions,test_session,n_train,n_test,accuracy,balanced_accuracy,macro_f1,kappa
sub-020,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,389,100,0.61,0.61,0.6096486838154338,0.21999999999999997
sub-020,cross_session_train_1-4_test_5,FBCSP-discriminative-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,389,100,0.57,0.57,0.562608076492727,0.14
sub-020,cross_session_train_1-4_test_5,Stable-FBCSP,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,389,100,0.58,0.58,0.5091164095371669,0.16000000000000003
sub-021,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,386,96,0.5520833333333334,0.5429874077290491,0.43966336364870373,0.08753315649867377
sub-021,cross_session_train_1-4_test_5,FBCSP-discriminative-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,386,96,0.6354166666666666,0.631133304385584,0.6170940170940171,0.2644483362521891
sub-021,cross_session_train_1-4_test_5,Stable-FBCSP,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,386,96,0.65625,0.6502388189318281,0.621731343283582,0.30404217926186294
sub-022,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,387,93,0.5161290322580645,0.5,0.3404255319148936,0.0
sub-022,cross_session_train_1-4_test_5,FBCSP-discriminative-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,387,93,0.5161290322580645,0.5,0.3404255319148936,0.0
sub-022,cross_session_train_1-4_test_5,Stable-FBCSP,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,387,93,0.5161290322580645,0.5,0.3404255319148936,0.0
sub-023,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,389,97,0.5051546391752577,0.5,0.3356164383561644,0.0
sub-023,cross_session_train_1-4_test_5,FBCSP-discriminative-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,389,97,0.4742268041237113,0.469812925170068,0.3529103989535644,-0.06090499678318695
sub-023,cross_session_train_1-4_test_5,Stable-FBCSP,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,389,97,0.4639175257731959,0.45960884353741494,0.3473084886128364,-0.08147512864494
sub-024,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,337,100,0.46,0.46,0.3443419135502671,-0.08000000000000007
sub-024,cross_session_train_1-4_test_5,FBCSP-discriminative-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,337,100,0.47,0.47,0.3749262884774148,-0.06000000000000005
sub-024,cross_session_train_1-4_test_5,Stable-FBCSP,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,337,100,0.45,0.45,0.41927990708478513,-0.10000000000000009
sub-025,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,362,100,0.5,0.5,0.3333333333333333,0.0
sub-025,cross_session_train_1-4_test_5,FBCSP-discriminative-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,362,100,0.57,0.5700000000000001,0.568922305764411,0.14
sub-025,cross_session_train_1-4_test_5,Stable-FBCSP,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,362,100,0.57,0.57,0.483110950835437,0.14
