subject,method,lambda_stability,band,mean_score,session_std,weight
sub-006,FBCSP-discriminative-weighted,0.5,8-12Hz,0.5835597826086956,0.1218884128682056,0.08073157393696676
sub-006,FBCSP-discriminative-weighted,0.5,12-16Hz,0.5323822463768115,0.047790455099187744,0.02153190019708757
sub-006,FBCSP-discriminative-weighted,0.5,16-20Hz,0.5185688405797101,0.050014028041592315,0.015071749404943564
sub-006,FBCSP-discriminative-weighted,0.5,20-24Hz,0.5441576086956522,0.05221657107135336,0.029183958244767706
sub-006,FBCSP-discriminative-weighted,0.5,24-28Hz,0.6105072463768115,0.1530140391680603,0.1619055940757442
sub-006,FBCSP-discriminative-weighted,0.5,28-32Hz,0.6279438405797102,0.17637055272847846,0.2539890300191872
sub-006,FBCSP-discriminative-weighted,0.5,32-36Hz,0.6005434782608696,0.11488100047945929,0.12517489134756132
sub-006,FBCSP-discriminative-weighted,0.5,36-40Hz,0.6286231884057971,0.17005963662624884,0.25848414638750733
sub-006,Stable-FBCSP,0.5,4-8Hz,0.5679347826086956,0.10540964452055615,0.07655323595750584
sub-006,Stable-FBCSP,0.5,8-12Hz,0.5835597826086956,0.1218884128682056,0.09657511404841422
sub-006,Stable-FBCSP,0.5,12-16Hz,0.5323822463768115,0.047790455099187744,0.055610052625637854
sub-006,Stable-FBCSP,0.5,16-20Hz,0.5185688405797101,0.050014028041592315,0.03803682666807027
sub-006,Stable-FBCSP,0.5,20-24Hz,0.5441576086956522,0.05221657107135336,0.07198621467847481
sub-006,Stable-FBCSP,0.5,24-28Hz,0.6105072463768115,0.1530140391680603,0.14017765797929221
sub-006,Stable-FBCSP,0.5,28-32Hz,0.6279438405797102,0.17637055272847846,0.17253324859175334
sub-006,Stable-FBCSP,0.5,32-36Hz,0.6005434782608696,0.11488100047945929,0.16104558830283436
sub-006,Stable-FBCSP,0.5,36-40Hz,0.6286231884057971,0.17005963662624884,0.18748206114801705
sub-007,FBCSP-equal,0.5,4-8Hz,0.5017210144927536,0.052862017735133916,1.0
sub-007,FBCSP-equal,0.5,8-12Hz,0.541268115942029,0.02551864349297363,1.0
sub-007,FBCSP-equal,0.5,12-16Hz,0.49939311594202895,0.06025323850936493,1.0
sub-007,FBCSP-equal,0.5,16-20Hz,0.530625,0.03063775244694037,1.0
sub-007,FBCSP-equal,0.5,20-24Hz,0.524981884057971,0.03046441686143023,1.0
sub-007,FBCSP-equal,0.5,24-28Hz,0.551911231884058,0.031472009904852986,1.0
sub-007,FBCSP-equal,0.5,28-32Hz,0.46439311594202903,0.0668054703359571,1.0
sub-007,FBCSP-equal,0.5,32-36Hz,0.4915126811594203,0.05567584211737523,1.0
sub-007,FBCSP-equal,0.5,36-40Hz,0.5571557971014494,0.027524567275757587,1.0
sub-007,FBCSP-discriminative-weighted,0.5,4-8Hz,0.5017210144927536,0.052862017735133916,0.0415698801440039
sub-007,FBCSP-discriminative-weighted,0.5,8-12Hz,0.541268115942029,0.02551864349297363,0.1618353392103118
sub-007,FBCSP-discriminative-weighted,0.5,12-16Hz,0.49939311594202895,0.06025323850936493,0.03837352557016597
sub-007,FBCSP-discriminative-weighted,0.5,16-20Hz,0.530625,0.03063775244694037,0.11225618974078783
sub-007,FBCSP-discriminative-weighted,0.5,20-24Hz,0.524981884057971,0.03046441686143023,0.0924653614734113
sub-007,FBCSP-discriminative-weighted,0.5,24-28Hz,0.551911231884058,0.031472009904852986,0.23331165148036828
sub-007,FBCSP-discriminative-weighted,0.5,28-32Hz,0.46439311594202903,0.0668054703359571,0.011524147847885604
sub-007,FBCSP-discriminative-weighted,0.5,32-36Hz,0.4915126811594203,0.05567584211737523,0.029268834718484876
sub-007,FBCSP-discriminative-weighted,0.5,36-40Hz,0.5571557971014494,0.027524567275757587,0.27939506981458045
sub-007,Stable-FBCSP,0.5,4-8Hz,0.5017210144927536,0.052862017735133916,0.020432661071500744
sub-007,Stable-FBCSP,0.5,8-12Hz,0.541268115942029,0.02551864349297363,0.1944101406529973
sub-007,Stable-FBCSP,0.5,12-16Hz,0.49939311594202895,0.06025323850936493,0.014813928402479743
sub-007,Stable-FBCSP,0.5,16-20Hz,0.530625,0.03063775244694037,0.11407685760628777
sub-007,Stable-FBCSP,0.5,20-24Hz,0.524981884057971,0.03046441686143023,0.0944988602429693
sub-007,Stable-FBCSP,0.5,24-28Hz,0.551911231884058,0.031472009904852986,0.23071860121072274
sub-007,Stable-FBCSP,0.5,28-32Hz,0.46439311594202903,0.0668054703359571,0.0035912692609482728
sub-007,Stable-FBCSP,0.5,32-36Hz,0.4915126811594203,0.05567584211737523,0.013122405383157492
sub-007,Stable-FBCSP,0.5,36-40Hz,0.5571557971014494,0.027524567275757587,0.31433527616893675
sub-008,FBCSP-equal,0.5,4-8Hz,0.5403186758893281,0.03223490728926571,1.0
sub-008,FBCSP-equal,0.5,8-12Hz,0.5079850131752306,0.02446521810479769,1.0
sub-008,FBCSP-equal,0.5,12-16Hz,0.5527033926218708,0.06666785477737085,1.0
sub-008,FBCSP-equal,0.5,16-20Hz,0.535336791831357,0.0589434257603272,1.0
sub-008,FBCSP-equal,0.5,20-24Hz,0.49908679183135707,0.07296756595549782,1.0
sub-008,FBCSP-equal,0.5,24-28Hz,0.4871516798418972,0.02229860985440163,1.0
sub-008,FBCSP-equal,0.5,28-32Hz,0.5589319828722003,0.1080457149877327,1.0
sub-008,FBCSP-equal,0.5,32-36Hz,0.5746368577075098,0.0968286109294767,1.0
sub-008,FBCSP-equal,0.5,36-40Hz,0.574834486166008,0.05906618844579056,1.0
sub-008,FBCSP-discriminative-weighted,0.5,4-8Hz,0.5403186758893281,0.03223490728926571,0.08222643575962926
sub-008,FBCSP-discriminative-weighted,0.5,8-12Hz,0.5079850131752306,0.02446521810479769,0.028449750355449832
sub-008,FBCSP-discriminative-weighted,0.5,12-16Hz,0.5527033926218708,0.06666785477737085,0.12347015048523936
sub-008,FBCSP-discriminative-weighted,0.5,16-20Hz,0.535336791831357,0.0589434257603272,0.06982197734776048
sub-008,FBCSP-discriminative-weighted,0.5,20-24Hz,0.49908679183135707,0.07296756595549782,0.02124367918687768
sub-008,FBCSP-discriminative-weighted,0.5,24-28Hz,0.4871516798418972,0.02229860985440163,0.014357822145633073
sub-008,FBCSP-discriminative-weighted,0.5,28-32Hz,0.5589319828722003,0.1080457149877327,0.15147945628944287
sub-008,FBCSP-discriminative-weighted,0.5,32-36Hz,0.5746368577075098,0.0968286109294767,0.25364996832596554
sub-008,FBCSP-discriminative-weighted,0.5,36-40Hz,0.574834486166008,0.05906618844579056,0.2553007601040018
sub-008,Stable-FBCSP,0.5,4-8Hz,0.5403186758893281,0.03223490728926571,0.1536512694525517
sub-008,Stable-FBCSP,0.5,8-12Hz,0.5079850131752306,0.02446521810479769,0.06091238802630835
sub-008,Stable-FBCSP,0.5,12-16Hz,0.5527033926218708,0.06666785477737085,0.12622985624173066
sub-008,Stable-FBCSP,0.5,16-20Hz,0.535336791831357,0.0589434257603272,0.08172415669310573
sub-008,Stable-FBCSP,0.5,20-24Hz,0.49908679183135707,0.07296756595549782,0.019449533785537102
sub-008,Stable-FBCSP,0.5,24-28Hz,0.4871516798418972,0.02229860985440163,0.03192983638694539
sub-008,Stable-FBCSP,0.5,28-32Hz,0.5589319828722003,0.1080457149877327,0.07502408407712748
sub-008,Stable-FBCSP,0.5,32-36Hz,0.5746368577075098,0.0968286109294767,0.15290020036200405
sub-008,Stable-FBCSP,0.5,36-40Hz,0.574834486166008,0.05906618844579056,0.29817867497468953
sub-009,FBCSP-equal,0.5,4-8Hz,0.4897373188405797,0.04667988166223895,1.0
sub-009,FBCSP-equal,0.5,8-12Hz,0.49140398550724634,0.05903763639764827,1.0
sub-009,FBCSP-equal,0.5,12-16Hz,0.4715670289855072,0.06222572339931239,1.0
sub-009,FBCSP-equal,0.5,16-20Hz,0.4371467391304347,0.048313620247969695,1.0
sub-009,FBCSP-equal,0.5,20-24Hz,0.4960144927536232,0.03781879823163263,1.0
sub-009,FBCSP-equal,0.5,24-28Hz,0.47834239130434775,0.10029621107641824,1.0
sub-009,FBCSP-equal,0.5,28-32Hz,0.5147282608695652,0.10920017421325005,1.0
sub-009,FBCSP-equal,0.5,32-36Hz,0.4242844202898551,0.0577412701532166,1.0
sub-009,FBCSP-equal,0.5,36-40Hz,0.49991847826086955,0.05972780961771224,1.0
sub-009,FBCSP-discriminative-weighted,0.5,4-8Hz,0.4897373188405797,0.04667988166223895,0.11589307102428
sub-009,FBCSP-discriminative-weighted,0.5,8-12Hz,0.49140398550724634,0.05903763639764827,0.12299518862067907
sub-009,FBCSP-discriminative-weighted,0.5,12-16Hz,0.4715670289855072,0.06222572339931239,0.060596454686023545
sub-009,FBCSP-discriminative-weighted,0.5,16-20Hz,0.4371467391304347,0.048313620247969695,0.01774140897225886
sub-009,FBCSP-discriminative-weighted,0.5,20-24Hz,0.4960144927536232,0.03781879823163263,0.14499184177806038
sub-009,FBCSP-discriminative-weighted,0.5,24-28Hz,0.47834239130434775,0.10029621107641824,0.07717105360067932
sub-009,FBCSP-discriminative-weighted,0.5,28-32Hz,0.5147282608695652,0.10920017421325005,0.28273323395660366
sub-009,FBCSP-discriminative-weighted,0.5,32-36Hz,0.4242844202898551,0.0577412701532166,0.011210961510248108
sub-009,FBCSP-discriminative-weighted,0.5,36-40Hz,0.49991847826086955,0.05972780961771224,0.16666678585116707
sub-009,Stable-FBCSP,0.5,4-8Hz,0.4897373188405797,0.04667988166223895,0.17157051280253932
sub-009,Stable-FBCSP,0.5,8-12Hz,0.49140398550724634,0.05903763639764827,0.13884332478324152
sub-009,Stable-FBCSP,0.5,12-16Hz,0.4715670289855072,0.06222572339931239,0.06378331304425679
sub-009,Stable-FBCSP,0.5,16-20Hz,0.4371467391304347,0.048313620247969695,0.025339996290770637
